pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,route_distance_km,route_duration_min,pickup_hour,day_of_week,weather_flag,fare_amount
19.093101,72.992737,19.067326,72.990682,2,2.87,8.1,3,3,1,94.67
19.093064,72.852321,19.03257,72.846716,1,6.75,28.7,21,4,0,263.97
19.067375,73.003881,19.218171,72.997611,1,16.78,66.9,20,1,0,605.7
19.083244,72.878348,19.074674,72.871835,1,1.17,3.3,13,3,1,44.17
19.013848,72.842478,19.1139,72.829177,1,11.21,32.4,1,3,0,344.79
18.951005,72.812633,19.07042,73.005379,4,24.23,66.8,1,5,0,694.33
19.048106,72.871192,19.084167,72.874098,2,4.02,10.1,22,1,0,78.85
19.138218,72.925087,19.085573,72.851697,4,9.68,28.0,7,3,0,241.03
19.070643,72.852265,19.104187,72.869939,1,4.17,15.1,19,1,0,129.01
19.201806,72.995578,19.218689,72.991111,1,1.94,5.3,3,1,1,57.56
19.122363,72.842042,18.924655,72.847998,1,21.99,64.4,23,1,1,774.05
19.211201,72.959016,18.932745,72.841693,1,33.33,139.1,9,0,0,1267.9
18.95691,72.834782,19.132873,72.839101,4,19.57,55.2,5,0,0,579.57
19.048899,72.879769,19.06328,72.852927,2,3.24,13.6,10,5,0,107.4
19.020378,72.835471,19.200627,72.997895,1,26.32,78.7,23,6,0,826.81
18.940377,72.855168,18.929306,72.824132,1,3.49,10.2,3,3,0,105.52
19.075064,72.827491,19.01251,72.844365,2,7.18,20.6,4,4,0,213.15
19.131314,72.849686,19.075084,72.867012,1,6.51,24.8,20,1,2,273.75
18.926385,72.805105,18.924389,72.837218,1,3.39,12.6,19,6,0,109.14
18.942841,72.818436,19.080083,72.864396,4,16.01,44.8,16,0,0,375.59
19.225825,72.975604,18.953635,72.816837,3,34.56,146.6,20,3,0,1337.7
18.922666,72.836036,19.002028,72.867331,1,9.42,25.9,7,4,0,219.41
18.922883,72.81815,19.107823,72.908343,1,22.64,67.2,13,3,1,644.95
19.061036,73.005012,19.117002,72.888838,1,13.7,44.7,16,6,0,386.2
19.213578,72.966327,18.930217,72.825729,1,34.8,102.4,22,5,0,860.48
18.947875,72.826697,18.928924,72.816931,3,2.34,6.2,22,0,0,46.28
19.081618,73.016323,19.05056,72.856599,3,17.14,44.7,23,4,1,528.09
19.078736,72.839428,19.076824,72.847754,1,0.9,3.5,21,2,0,48.13
18.928118,72.830812,19.078411,72.85724,1,16.94,48.4,23,3,0,506.43
19.122301,72.853955,19.092687,72.880686,1,4.33,13.5,7,1,1,144.7
19.074858,72.820616,19.01386,72.859803,1,7.94,34.5,9,4,0,314.12
19.220469,72.958309,19.090699,73.011907,1,15.49,41.1,1,4,0,418.56
19.031479,72.846613,19.037653,72.842532,1,0.81,3.7,19,1,0,48.3
19.113535,72.889163,19.052953,72.864207,1,7.23,22.2,6,3,0,179.86
19.062799,72.831959,19.047812,72.868164,1,4.15,14.8,18,6,0,125.1
19.11977,72.919396,19.108094,72.859405,1,6.44,18.1,12,3,0,152.84
18.923544,72.824124,19.235625,72.983803,1,38.55,111.1,3,3,0,1168.64
19.092475,72.869111,19.220922,72.997286,1,19.63,82.1,10,0,0,745.03
19.120423,72.838349,19.041845,72.843609,1,8.75,23.7,4,4,0,248.77
19.051039,72.851924,19.105757,72.881976,2,6.86,17.0,3,5,0,173.38
19.228355,72.984378,19.046236,72.86001,1,24.1,92.7,21,3,0,819.85
19.229368,72.960715,19.047045,72.851206,3,23.31,90.7,20,3,1,920.96
19.135693,72.827273,19.128333,72.89312,3,6.97,31.0,20,1,1,328.86
19.049861,72.835667,19.064748,72.992131,1,16.53,64.9,20,3,0,592.53
18.9526,72.82012,19.232325,72.980549,1,35.38,100.8,1,3,0,1054.2
19.108746,72.860277,19.063731,73.016428,2,17.16,46.4,1,1,0,489.5
19.091417,72.848091,19.110877,72.902239,4,6.09,24.9,18,6,0,225.76
19.07597,72.869475,19.11145,72.914385,1,6.15,20.7,13,2,0,184.84
19.079419,73.000701,19.124957,72.924369,1,9.49,34.7,19,2,0,303.62
19.015443,72.835624,19.060861,72.992867,2,17.28,45.4,4,4,0,472.57
19.127208,72.905904,19.13143,72.83907,3,7.04,18.3,2,2,2,243.52
19.14216,72.914172,19.057213,72.834112,1,12.65,55.1,8,3,0,503.6
18.93671,72.854664,19.068607,72.82242,4,15.05,42.6,22,2,0,352.8
19.005296,72.862127,19.082428,72.85313,2,8.63,38.3,10,1,0,347.73
19.049773,72.84227,19.066874,72.983118,1,14.92,40.1,0,4,1,471.98
19.21572,72.98119,18.953658,72.834151,4,32.98,83.2,2,0,0,853.44
18.936397,72.803553,19.076285,72.871811,4,17.13,42.8,22,6,0,347.38
19.040928,72.821658,19.083232,72.883548,2,8.03,22.6,2,3,0,238.04
18.954969,72.815308,18.941682,72.821814,3,1.63,4.9,7,5,2,52.69
19.215158,72.959187,19.110901,72.860734,1,15.53,67.9,18,2,1,712.54
19.084972,72.873554,19.21049,72.991276,1,18.65,52.3,14,3,0,431.02
19.198796,72.976851,19.231281,72.96107,1,3.97,12.5,13,5,0,106.76
19.14149,72.901216,19.135392,72.833813,1,7.11,21.5,16,5,0,183.43
19.042146,72.842755,19.017335,72.857303,1,3.15,14.2,8,3,0,138.53
18.921006,72.843078,19.119078,72.905384,2,22.98,103.8,8,2,0,970.95
19.077252,72.874284,19.090095,72.849769,1,2.95,9.3,12,2,2,110.53
18.942716,72.842754,19.131764,72.890837,1,21.62,65.9,16,4,0,555.93
18.938019,72.834219,19.005644,72.852231,1,7.75,21.2,23,0,0,216.68
18.928763,72.816769,18.933554,72.847403,1,3.27,11.7,9,2,0,100.24
18.924554,72.829109,19.092591,72.846787,2,18.78,57.0,13,2,1,558.43
18.935595,72.844494,19.142704,72.916561,2,24.24,79.7,15,0,2,888.61
19.071222,72.880464,18.92838,72.818754,1,17.16,63.1,17,4,0,556.69
19.081713,72.86487,19.011991,72.865469,2,7.75,30.5,8,1,0,274.82
19.026759,72.832622,18.945,72.836561,4,9.1,25.8,1,0,0,273.01
18.923376,72.831275,19.04452,72.831846,1,13.47,33.6,22,0,0,272.38
19.091301,72.88007,18.93917,72.821405,1,18.01,65.8,8,6,1,670.94
19.071902,72.979697,18.941033,72.835767,1,20.99,57.9,6,3,1,552.15
19.082933,73.004076,18.92405,72.849186,1,24.03,75.0,15,3,0,640.29
19.052394,72.887581,19.145498,72.909277,1,10.6,35.6,13,5,0,299.53
19.05117,72.845503,19.077837,72.822059,3,3.86,11.2,3,1,2,148.5
19.046938,72.88753,19.121356,72.832566,1,10.09,29.0,1,4,1,339.52
19.004887,72.848098,19.078257,72.831808,1,8.34,22.5,23,4,0,229.89
19.061771,72.888454,18.948736,72.826175,2,14.17,37.8,4,6,0,403.85
19.003095,72.851521,18.952686,72.824735,3,6.27,27.7,20,5,0,247.49
18.94723,72.833971,19.094862,72.984552,1,22.8,69.7,15,3,1,670.05
19.120598,72.848908,19.085062,72.866051,1,4.34,19.5,17,0,2,241.36
18.941538,72.827485,19.077964,72.867759,4,15.75,43.0,7,3,0,351.27
19.109942,72.827632,19.070365,72.864674,2,5.88,25.3,10,2,0,227.6
19.053949,72.841677,19.135722,72.909143,2,11.53,29.6,2,2,2,393.37
19.069219,72.815214,19.143884,72.920877,2,13.86,39.3,0,3,0,408.63
19.089105,72.848706,19.061984,72.85134,1,3.03,8.8,2,5,1,96.49
19.110917,72.921683,19.101709,72.829316,1,9.76,28.2,14,6,0,237.05
19.118101,72.894093,19.105844,72.85846,1,3.98,11.2,0,0,2,143.29
19.228684,72.965614,19.089723,72.863574,1,18.81,52.2,7,5,0,440.12
18.952358,72.836301,19.117999,72.910532,1,20.0,53.5,22,1,0,436.82
18.932703,72.815305,19.088421,73.007202,1,26.59,83.1,16,6,0,711.31
19.109573,72.856036,19.212709,72.968916,2,16.5,72.7,11,3,1,774.23
19.144963,72.891572,19.058792,73.001185,3,14.98,36.8,23,6,0,373.89
19.07462,72.816812,19.136842,72.926031,2,13.4,54.5,8,4,0,479.38
19.217339,72.962539,19.012593,72.829894,2,26.69,118.6,17,4,1,1258.55
19.224594,72.976991,19.132309,72.91985,2,11.89,35.6,12,1,1,347.55
19.125493,72.842205,19.125126,72.911167,1,7.25,31.0,10,2,1,322.68
19.120334,72.837104,19.067122,72.819176,3,6.21,17.6,1,5,1,215.36
19.046097,72.867264,19.047366,72.864606,1,2.95,8.5,15,6,0,69.97
19.100378,72.857206,19.203108,72.968723,1,16.36,71.8,20,0,0,654.65
19.065458,72.848468,18.998744,72.863742,2,7.59,20.3,23,4,0,202.15
19.026205,72.865295,18.943163,72.833298,1,9.83,29.4,3,1,0,321.12
19.114327,72.835415,19.075232,72.870497,2,5.7,16.1,12,2,1,157.0
19.142657,72.894555,18.933808,72.851999,1,23.65,75.9,14,6,0,645.07
19.116326,72.838477,18.933476,72.823424,2,20.39,53.1,4,5,1,638.06
18.945674,72.810612,19.00443,72.845622,1,7.5,33.5,10,3,2,405.03
19.104056,72.851862,19.134869,72.927246,1,8.63,34.7,10,4,0,314.45
19.078158,72.846121,19.107304,72.858104,3,3.48,10.4,1,0,0,108.92
19.055594,72.874325,19.100854,72.884007,2,5.13,18.3,21,3,0,153.82
19.054679,72.83158,19.048483,72.822367,2,1.19,3.4,7,2,0,39.69
19.093155,72.984752,19.106381,72.88533,1,10.55,33.3,6,0,0,283.33
19.000108,72.845575,19.071385,73.010102,1,19.02,74.9,19,4,0,666.96
19.049772,72.868938,19.199857,72.959541,1,19.21,49.5,1,4,0,504.88
19.129604,72.908668,19.090686,72.984353,1,9.05,26.4,22,6,0,224.98
19.065602,72.856887,19.113845,72.901263,3,7.11,21.2,13,0,0,181.06
19.018077,72.844176,19.13947,72.889906,2,14.33,41.6,23,1,0,433.27
19.062709,72.850203,19.070222,72.8095,1,4.36,15.7,21,5,2,179.24
19.077743,72.846004,19.054917,72.848759,2,2.55,11.1,11,5,0,109.59
19.069217,72.991612,19.208413,72.968958,1,15.66,53.4,15,2,0,460.08
19.136899,72.909699,19.132841,72.891138,1,2.0,7.7,9,2,0,72.57
19.110313,72.850462,19.070986,72.853898,1,4.39,14.1,16,0,0,113.74
18.957317,72.8484,19.113608,72.891929,2,17.97,50.5,14,6,1,483.48
19.20611,72.971914,19.126306,72.832693,1,17.1,54.5,16,3,0,464.89
18.932479,72.8346,19.077148,72.878078,1,16.72,74.6,18,2,0,681.86
19.026048,72.849172,19.108467,72.908192,2,11.07,33.0,5,4,0,345.6
19.013662,72.833069,19.089452,73.005686,2,20.0,56.4,1,5,1,680.07
19.031827,72.867076,18.998286,72.854761,1,3.95,11.5,16,3,0,90.28
18.9574,72.832522,19.042334,72.84085,1,9.48,30.3,15,0,0,258.29
19.084982,72.880094,19.094891,72.85356,1,3.0,11.0,21,4,0,93.99
18.961451,72.839989,19.1091,72.908748,1,17.94,45.1,5,1,0,465.57
19.206478,72.978888,19.080171,72.853813,1,19.23,56.2,15,1,0,477.2
19.105458,72.850214,19.102433,72.843615,2,0.77,2.8,18,3,0,49.94
19.109736,72.853441,18.946882,72.838642,1,18.18,46.3,1,4,0,479.19
19.204493,72.995889,19.137262,72.826667,2,19.28,51.3,3,1,0,521.67
19.079724,72.86361,18.928819,72.844329,2,16.9,42.4,5,5,0,440.94
19.112782,72.862002,19.076182,72.826861,1,5.5,19.5,8,2,0,178.9
19.085135,72.986761,19.077571,72.880699,2,11.18,33.2,14,6,0,286.13
18.926301,72.821758,19.006414,72.851684,1,9.45,31.2,15,6,1,301.51
19.077644,72.988734,19.109138,72.902845,3,9.68,26.6,5,2,0,277.2
18.955814,72.841959,19.137895,72.904454,3,21.29,58.0,5,1,0,603.22
18.95679,72.815095,19.057977,72.990642,1,21.61,77.3,10,5,0,674.35
18.950578,72.831687,18.940151,72.840361,1,1.48,3.8,4,0,0,40.1
19.063548,72.880934,18.932392,72.825298,1,15.71,41.6,22,0,0,344.1
19.080605,72.881825,19.107713,72.85867,1,3.87,17.7,9,1,1,188.71
19.030955,72.841756,19.232653,72.985178,2,27.02,72.4,22,2,0,594.08
19.204715,72.985046,19.054884,72.853402,1,21.65,69.7,7,4,0,589.89
18.933809,72.831868,19.092366,72.98346,2,23.77,87.3,18,3,0,769.51
19.071909,72.861241,19.011227,72.857776,1,6.76,27.0,10,4,1,281.38
19.134486,72.894868,18.936902,72.825267,1,23.16,65.0,15,6,0,545.24
19.075314,72.873283,19.074171,72.876192,2,2.76,9.0,6,4,0,79.51
19.020227,72.852937,19.067231,72.978999,2,14.24,38.6,23,0,1,463.42
19.217704,72.971445,19.219563,72.978522,2,0.77,3.1,8,4,0,57.65
18.959871,72.811539,19.141494,72.903576,1,22.39,55.8,3,6,0,563.38
18.938819,72.835553,19.085587,72.871062,1,16.74,65.8,18,2,0,587.54
19.047513,72.862698,18.950267,72.82276,1,11.6,29.1,1,4,0,294.47
19.076361,72.872049,19.060443,72.823508,2,5.4,19.2,19,0,0,164.43
19.212179,72.97373,19.093429,73.008949,1,13.71,38.0,3,1,0,402.3
19.069376,72.995199,19.115148,72.84994,1,16.09,53.3,12,2,1,532.91
18.943387,72.820646,19.030673,72.85418,2,10.33,26.8,5,0,1,321.44
18.941149,72.848337,19.067386,72.818249,1,14.39,61.4,21,1,1,648.78
19.131168,72.857347,19.060434,72.865994,1,7.92,31.7,21,5,1,331.24
19.064802,72.843825,19.116859,72.834443,1,5.87,19.3,6,4,1,193.6
19.103497,72.866356,19.057329,72.997233,1,14.68,43.2,15,4,2,464.79
19.07095,72.832147,19.048881,72.810075,2,3.38,14.8,17,0,0,138.18
19.035337,72.844393,19.072724,72.981373,2,14.99,64.2,18,2,0,592.41
19.207455,72.981974,19.121565,72.902859,2,12.66,34.1,4,2,0,352.39
19.123426,72.828534,18.938297,72.837946,1,20.61,87.3,10,4,0,801.24
19.224246,72.969112,19.027712,72.86021,1,24.67,68.0,7,3,0,567.67
18.924566,72.834564,19.076457,72.863743,1,17.17,77.9,19,5,0,723.01
19.073175,72.984748,19.072952,72.835203,1,15.72,61.8,10,3,0,552.91
18.944274,72.850539,19.089663,72.884647,2,16.56,63.9,20,6,1,652.41
19.005822,72.836449,18.944905,72.854235,1,7.03,25.9,20,5,0,218.4
18.954102,72.852819,19.019875,72.859376,1,7.35,19.9,1,2,0,199.98
19.060093,72.996138,19.084623,72.879072,4,12.6,36.8,7,3,1,348.87
19.111587,72.898259,18.934148,72.827399,4,21.09,78.2,21,3,0,684.55
19.112597,72.891309,18.956973,72.831667,2,18.41,53.0,4,5,0,555.39
18.938383,72.827559,19.226907,72.969377,1,35.37,138.8,21,4,0,1241.06
19.132968,72.89597,19.103204,72.885178,3,3.5,13.1,19,1,0,116.45
19.133229,72.840856,19.029789,72.832729,2,11.53,38.5,7,4,1,389.93
19.122409,72.849573,19.091884,72.994711,4,15.62,50.5,7,0,0,433.87
19.005114,72.860828,19.123854,72.849465,1,13.26,34.4,5,5,1,404.82
18.949179,72.838229,19.046605,72.836411,1,10.84,44.6,20,1,0,407.06
19.088804,73.003693,18.926082,72.833633,1,25.44,73.5,16,1,1,714.66
19.081258,72.853902,19.088533,73.002198,1,15.6,47.7,15,6,0,401.83
18.930628,72.804619,19.041418,72.835364,1,12.74,38.8,14,0,1,384.73
19.04161,72.810896,18.954119,72.852435,4,10.66,46.6,11,2,0,426.09
19.222633,72.969342,18.944431,72.823294,1,34.53,109.5,6,2,0,924.0
19.084196,73.001231,19.106694,72.860235,1,15.03,46.4,12,2,1,448.85
18.933288,72.827051,19.143728,72.89862,2,24.58,95.1,18,5,0,841.5
19.074994,72.839063,19.093617,72.992191,1,16.22,48.1,16,0,0,401.5
19.118927,72.921981,19.070835,73.011983,3,10.86,36.5,7,1,0,319.84
19.2079,72.986505,19.120057,72.905951,3,12.92,31.8,2,1,0,324.5
19.129516,72.924174,19.044192,72.847161,2,12.47,36.5,2,3,0,386.8
18.958045,72.817671,19.081403,72.857554,1,14.34,62.3,21,0,1,662.31
19.050496,72.878097,18.924677,72.842586,3,14.48,46.7,13,3,0,401.75
19.111063,72.909868,18.92181,72.824016,1,22.9,101.7,17,4,0,942.26
18.946223,72.841106,19.139462,72.920039,1,23.03,70.1,12,4,0,594.62
19.108288,72.829089,18.953355,72.804698,2,17.42,78.3,11,3,1,836.46
19.116642,72.858143,19.108389,72.862849,1,1.04,2.6,22,6,0,36.98
19.07833,72.885177,18.930114,72.838405,1,17.2,76.4,20,6,0,698.6
